voice, stone, expert, square, shade, stream, rock, cheese, cave, canvas, crate, day, jeans, calendar, quilt, sock, boys
aftermath, 980, l, 1, 0, 1, -90833846583, -1, 1, 0, 4.350800, 0.000465, 3061, 183495360, 136732, -1140.550877, ff
education, 2454, 4, 0, 1, 1, 2094101730955375690, -34, 1, 0, -0.005203, 0.000006, 1, 343, 50086831, -0.009071, c2
hand, 23531, K, 1, 1, 0, 12129507, 0, 0, 0, -0.036598, -0.000006, 112, 580794, 286880, -1.989201, e9
twig, 3, s, 0, 1, 1, -2621, -49938189, 1, 1, 0.000191, -0.021693, 25, 1520390, 5692401, 1307.242435, fe
scarecrow, 2, 7, 1, 0, 1, -109711044059, 80352540, 1, 0, -0.127045, 0.024740, 7, 5519, 60, 0.088467, c
yoke, 3, B, 0, 1, 0, -1755032705, 4116110, 1, 0, 0.022446, 0.000473, 621, 343574, 1818188, 0.000000, fc
discovery, 45, S, 0, 0, 1, 18, -10920272, 0, 1, -0.222466, -0.335082, 118, 66368436, 1907325, -1505.790291, 0
degree, 21, 9, 0, 1, 1, -481049809, -11637248, 0, 1, -3.471657, 0.022849, 426, 183, 2946919642, 1.884037, fd
wood, 5, D, 0, 1, 1, 445416001, 6516, 1, 0, 0.000000, -80.097359, 1, 36845, 349957, -0.066547, fc
, 3, 5, 0, 1, 1, 425030637459692, -159, 0, 0, -0.028214, 0.000005, 53, 8, 4233801699, 0.000023, 0
degree, 3947, {, 0, 1, 1, 1402124904405, 3884, 0, 1, 704.004051, 7.162687, 15450, 110735, 15, -0.012775, 2c
marble, 0, V, 0, 1, 1, 0, -11966683, 0, 0, 0.000023, 4.769621, 10577, 27387038, 2, 0.006008, ff
show, 2843, Y, 1, 0, 1, -314544, -3, 1, 1, -0.000595, 0.000546, 15744, 1626754203, 932795, 0.004227, 17
transport, 477, !, 0, 1, 0, -8573871075602415, -9429739, 1, 1, 0.000000, -0.000000, 2390, 449192, 5443, -44.751732, 0
cactus, 2, A, 0, 1, 0, 1920602792, -72, 1, 1, -3062.165634, -0.000000, 1, 106923, 834, -0.033092, 1
pollution, 3604, [, 0, 1, 0, 617735352269, 1925963, 0, 0, 0.000000, 0.056709, 65, 3775831, 0, 0.001686, 0
direction, 10463, B, 0, 0, 1, -1216856, 430227, 1, 1, -0.015190, -39.888947, 1, 1540, 81073, -0.003963, f3
view, 776, A, 1, 1, 1, -1901, 20042425, 0, 0, -17.863678, -0.000001, 2, 344, 2, -0.384140, 60
furniture, 23296, 6, 0, 0, 0, 29310164, -11837964, 1, 1, 0.000000, -0.008947, 6564, 39378692, 1492932, 0.001621, fe
school, 723, E, 1, 1, 1, 81489669312425752, 615, 0, 1, -0.000412, 0.892335, 4684, 3200324, 17, -0.034622, 2
wealth, 237, S, 0, 0, 0, -3218, -30038, 1, 1, 3.363892, 0.000125, 882, 175585, 122, 277.064392, 6
authority, 5426, E, 0, 1, 1, -120932714594550666, -149, 0, 0, 305.850365, 0.000025, 0, 168873, 831757, -1.857899, 18
attention, 50, ;, 0, 0, 0, 1538562347156994, -1555680, 0, 0, 0.971046, 0.000002, 25, 368839199, 155, 90.306343, 5
aftermath, 0, l, 1, 0, 1, -137366191622, -1, 0, 0, -0.111664, 0.000465, 3061, 183495360, 64331, -1140.550877, 4e
, 424, 0, 0, 0, 1, -2, 2542185, 1, 0, -0.000267, 0.312694, 0, 6973518, 173248, 0.033134, 34
cup, 31421, &, 0, 0, 0, 61391930187763843, -364901859, 1, 1, 0.000381, -0.000054, 27, 396713042, 89894911, 0.000015, ff
level, 6, Z, 1, 0, 0, 61391930187763843, 252357409, 1, 1, 2.789780, -0.000054, 27, 416638992, 183, 43.799343, ec
sign, 12966, 4, 1, 1, 1, -5790269, 20136, 1, 1, -1534.895699, -0.000003, 7284, 31064, 232469879, -98.821690, 1
paste, 772, y, 0, 1, 0, 127234170226696, -2, 0, 0, 68.397751, 6.014616, 0, 204425, 6, -0.250233, ff
learning, 7, 7, 1, 0, 1, -73638131080, 10913, 1, 0, -0.000015, 1.000000, 12318, 1995, 612550632, -0.872318, f2
structure, 98, T, 0, 1, 0, -3590, 32, 0, 1, -0.845757, 0.000000, 29543, 3375, 2, 138.816200, be
, 10, T, 1, 1, 0, 165649894, 69, 1, 0, -68.822845, -0.000007, 3, 913238, 122, 0.000542, ff
button, 7, {, 0, 0, 1, -234461, -35, 1, 1, 0.006599, 0.038460, 3, 0, 623, 165.058132, 29
magic, 4593, *, 1, 1, 0, 4, -176679, 0, 0, 4079.183578, -0.175964, 2, 0, 340, 0.000111, ef
women, 3127, ?, 0, 0, 0, 566, 6593121, 0, 0, 0.000031, -0.236307, 1475, 419356, 1208, -4070.966385, bb
secretary, 12, (, 0, 1, 1, -32136561177693429, 6, 0, 1, -989.616295, -2.256436, 46, 255782994, 105, 0.165207, 4b
self, 4379, 3, 1, 1, 1, 55, 2492428, 1, 0, -0.000046, 0.000007, 403, 1, 82, -31.141193, 5
notebook, 11, A, 1, 0, 0, -47375688, -2076614468, 0, 0, -165.757713, -0.712744, 48, 16244, 30405057, 1.594753, fc
sponge, 6, @, 0, 1, 1, -57509908437, 1545, 1, 0, -94.774475, 0.000052, 52385, 53, 1492731, 0.000004, 18
rainstorm, 19995, f, 0, 0, 0, 16, 1904593, 0, 0, 0.000000, 0.000000, 47, 2734091611, 5, 0.000092, 1
, 4072, N, 0, 1, 1, 637, -7319, 1, 0, -0.015358, 0.000088, 0, 66649383, 31580, -0.723446, 30
, 2741, 0, 0, 1, 0, -48678, 4373862, 1, 0, -6.188644, -0.000858, 99, 457, 354907570, -0.000809, 0
lift, 770, (, 0, 1, 1, 15, -112678, 1, 1, -3480.750412, 0.000000, 21941, 42, 6092, 0.000183, 0
design, 2, ., 1, 0, 1, -1493, 1644, 0, 0, 24.340416, -0.000000, 3, 125846870, 4, -2.474052, 1f
skate, 1180, f, 1, 0, 1, -1504112053943916, 3212, 1, 1, -0.011513, -0.000000, 1536, 596417, 12741, 0.022995, fc
wealth, 2968, >, 0, 1, 0, -1319755489375, 37, 1, 1, 0.002991, 0.000004, 1821, 3, 429, 0.000416, ed
land, 9, x, 1, 0, 0, -333985721370415161, -16872923, 0, 0, -12.300903, -0.094810, 1137, 26, 12705475, -0.000767, 19
rice, 15897, +, 0, 1, 0, 110, -31032986, 0, 0, 1.000000, 0.584680, 4056, 21289, 403731, -0.000366, f3
snake, 1073, *, 0, 0, 1, 43199821151611763, 5608, 1, 1, 1241.217583, -53.560539, 296, 2417, 1430, -7.590038, a
passenger, 1, *, 1, 0, 0, -23867508, -152, 1, 0, 0.000023, 0.000060, 87, 1217, 19, 0.000767, 1
railway, 10, ?, 1, 1, 0, 37339208, 283029346, 0, 1, -0.012566, -0.627961, 117, 58, 1123631738, 0.000057, 0
quicksand, 43, X, 1, 0, 0, 66434995369090, -353692, 1, 1, 0.000015, 0.000000, 4, 1, 236476055, 2673.105602, 3
move, 13631, D, 0, 1, 1, -24, -799, 0, 0, 0.006325, 0.000120, 10, 4466478, 719, -3.874664, 1
crime, 27235, O, 0, 1, 1, 24076418224404, -35, 0, 0, 0.005646, 0.446888, 7, 1, 758569142, 0.000000, 0
secretary, 93, C, 1, 1, 0, -623138018396153344, 4141118, 1, 1, -251.462769, -3.937972, 3, 291, 7, -0.000004, 1d
