voice, stone, expert, square, shade, stream, rock, cheese, cave, canvas, crate, day, jeans, calendar, quilt, sock, boys
sun, 17090, u, 1, 0, 1, -70943, 171508, 0, 0, 1.000000, -0.000001, 2796, 503530, 8087495, -0.073647, fe
ornament, 440, 9, 1, 1, 1, 0, 370617, 0, 1, -6.832626, 231.363190, 50, 1495262206, 24, 1.000000, fc
nail, 97, 0, 0, 0, 0, -8619337454192123591, 0, 0, 1, -6261.303032, -4.154906, 5, 192872, 1919, -3028.412640, ac
rail, 26, C, 0, 0, 1, 8715638875205956682, -34388850, 1, 1, -7727.981789, -0.115773, 44767, 1, 0, -2521.073441, 0
boy, 1, !, 0, 1, 1, 2442622, 0, 1, 0, -0.008385, -190.697510, 14898, 17881, 1, 2167.585377, 1
ornament, 440, X, 0, 1, 0, -9076634164795351737, 4069869, 0, 1, 0.000000, 0.000114, 50, 1495262206, 98478008, 1.000000, 1
, 31, ], 1, 1, 1, -1843, -1665756542, 1, 1, -25.357079, 1.000000, 1, 2293157784, 1284, 0.020691, ff
quince, 60805, D, 0, 1, 1, 1501554, -1309477133, 0, 0, 0.000000, -227.678787, 36, 0, 1, 0.000000, 4a
cemetery, 11861, !, 0, 0, 1, 9214090117238609487, 126174101, 0, 1, 0.001701, 169.390121, 33126, 17881, 2925727393, 12.776333, 25
wine, 0, =, 1, 0, 0, 1, 1552193330, 1, 0, 26.111603, 0.000000, 0, 3399878350, 668, 3957.607624, 0
science, 0, C, 0, 0, 0, -7452373683240517704, -939382408, 1, 0, 0.000000, 0.000000, 101, 1, 0, -2521.073441, b9
quince, 47376, ], 0, 1, 1, 1, -1237427207, 1, 0, 1.000000, 0.000000, 36, 0, 266458555, -0.003922, 51
train, 341, 8, 1, 0, 1, -35447, 1, 1, 1, 2.450577, 1.000000, 2731, 1147585, 2594058997, 0.000000, d
account, 0, W, 0, 1, 0, 0, 0, 0, 0, -0.000031, 0.000000, 1, 89290, 143238907, 0.099964, ff
direction, 7, J, 1, 1, 1, 0, 1701574, 0, 0, 5672.733620, 0.000155, 0, 7723396, 127, -0.000011, a2
pull, 1, $, 1, 1, 0, -4673380259, 1608430128, 1, 0, 8144.764267, -174.653366, 5, 42308, 0, -2485.951065, 0
approval, 13, ~, 0, 1, 0, -557521350742, 1, 1, 0, -8057.448456, 0.005201, 0, 0, 43, 0.000000, ff
